remote 2.559897 R FIFO 0x45 | 0xe1 | 0x00 | 0x08 | 0xff | 0xed | 0x00 | 0x09 | 0xff | 0xa4 | 0xff | 0xee | 0x04 | 0x17 | 0x26 | 0x00 | 0x51
remote 2.599918 R FIFO 0x45 | 0xe1 | 0x00 | 0x08 | 0xff | 0xed | 0x00 | 0x09 | 0xff | 0xc7 | 0xff | 0xb1 | 0x04 | 0x2c | 0x26 | 0x00 | 0x56
remote 2.639871 R FIFO 0x45 | 0xe1 | 0x00 | 0x08 | 0xff | 0xed | 0x00 | 0x09 | 0xff | 0x24 | 0x00 | 0x10 | 0x03 | 0xf9 | 0x26 | 0x00 | 0xcd
remote 2.679914 R FIFO 0x45 | 0xe1 | 0x00 | 0x08 | 0xff | 0xed | 0x00 | 0x09 | 0xff | 0x37 | 0xff | 0xd9 | 0x04 | 0x22 | 0x26 | 0x00 | 0xc8
remote 2.719898 R FIFO 0x45 | 0xe1 | 0xff | 0xe2 | 0xff | 0xee | 0x00 | 0x09 | 0xfe | 0xa7 | 0xff | 0xd4 | 0x04 | 0x1a | 0x26 | 0x00 | 0x8c
remote 2.759902 R FIFO 0x45 | 0xe1 | 0xff | 0xe2 | 0xff | 0xee | 0x00 | 0x09 | 0xff | 0x17 | 0xff | 0xf6 | 0x04 | 0x06 | 0x26 | 0x00 | 0x0d
remote 2.799975 R FIFO 0x45 | 0xe1 | 0xff | 0xe2 | 0xff | 0xee | 0x00 | 0x09 | 0xfe | 0x03 | 0xff | 0xca | 0x03 | 0x6b | 0x26 | 0x00 | 0xea
remote 2.839973 R FIFO 0x45 | 0xe1 | 0xff | 0xe2 | 0xff | 0xee | 0x00 | 0x09 | 0xfe | 0x54 | 0xff | 0xda | 0x03 | 0x34 | 0x26 | 0x00 | 0xc0
remote 2.879909 R FIFO 0x45 | 0xe1 | 0xff | 0xe2 | 0xff | 0xee | 0x00 | 0x0a | 0xfd | 0x9c | 0xff | 0xe1 | 0x03 | 0x00 | 0x26 | 0x00 | 0xa5
remote 2.919938 R FIFO 0x45 | 0xe1 | 0xff | 0xe2 | 0xff | 0xee | 0x00 | 0x0a | 0xfc | 0x62 | 0xff | 0x90 | 0x02 | 0xd8 | 0x26 | 0x00 | 0x5a
remote 2.960030 R FIFO 0x45 | 0xe1 | 0xff | 0x52 | 0xff | 0xed | 0x00 | 0x0a | 0xfd | 0x78 | 0x00 | 0x75 | 0x02 | 0x71 | 0x26 | 0x00 | 0x55
remote 3.000050 R FIFO 0x45 | 0xe1 | 0xff | 0x52 | 0xff | 0xed | 0x00 | 0x0a | 0xfc | 0xe1 | 0x00 | 0x39 | 0x02 | 0x7f | 0x26 | 0x00 | 0x1b
remote 3.040059 R FIFO 0x45 | 0xe1 | 0xff | 0x52 | 0xff | 0xed | 0x00 | 0x0a | 0xfd | 0x3e | 0x00 | 0x7f | 0x02 | 0x6b | 0x26 | 0x00 | 0x8b
remote 3.079973 R FIFO 0x45 | 0xe1 | 0xff | 0x52 | 0xff | 0xed | 0x00 | 0x0a | 0xfd | 0x03 | 0x00 | 0x18 | 0x02 | 0xa5 | 0x26 | 0x00 | 0xf3
remote 3.119996 R FIFO 0x45 | 0xe1 | 0xff | 0x52 | 0xff | 0xed | 0x00 | 0x0a | 0xfc | 0xcd | 0x00 | 0xb4 | 0x02 | 0x05 | 0x26 | 0x00 | 0x2e
remote 3.160065 R FIFO 0x45 | 0xe1 | 0xff | 0x52 | 0xff | 0xed | 0x00 | 0x0a | 0xfc | 0x7a | 0xff | 0xf8 | 0x01 | 0xfa | 0x26 | 0x00 | 0x4a
remote 3.200031 R FIFO 0x45 | 0xe1 | 0xff | 0x52 | 0xff | 0xed | 0x00 | 0x0a | 0xfb | 0xc0 | 0x00 | 0x8d | 0x01 | 0x36 | 0x26 | 0x00 | 0x33
remote 3.240051 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x28 | 0x00 | 0x30 | 0x01 | 0x04 | 0x26 | 0x00 | 0xf5
remote 3.280117 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xe9 | 0x00 | 0x66 | 0x00 | 0x8b | 0x26 | 0x00 | 0x79
remote 3.320137 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x5b | 0xff | 0xdb | 0x00 | 0xf4 | 0x26 | 0x00 | 0x29
remote 3.360124 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x31 | 0x00 | 0xac | 0x00 | 0x2f | 0x26 | 0x00 | 0x46
