remote 3.289128 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x03 | 0x00 | 0x00 | 0x28 | 0x00 | 0x13
remote 3.329111 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x01 | 0x00 | 0x01 | 0x28 | 0x00 | 0x15
remote 3.369661 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x03 | 0x00 | 0x00 | 0x00 | 0x01 | 0x28 | 0x00 | 0x13
remote 3.409166 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x28 | 0x00 | 0x17
remote 3.449258 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x00 | 0xff | 0xff | 0x28 | 0x00 | 0x18
remote 3.489224 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xff | 0xff | 0xff | 0x00 | 0x00 | 0x28 | 0x00 | 0x1b
remote 3.529232 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x03 | 0x00 | 0x01 | 0x00 | 0x00 | 0x28 | 0x00 | 0x13
remote 3.569686 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfe | 0xff | 0xff | 0x00 | 0x01 | 0x28 | 0x00 | 0x1b
remote 3.609671 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x03 | 0x00 | 0x02 | 0x00 | 0x00 | 0x28 | 0x00 | 0x12
remote 3.649280 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfe | 0x00 | 0x00 | 0x00 | 0x00 | 0x27 | 0x00 | 0x1b
remote 3.689253 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x00 | 0x00 | 0x00 | 0x27 | 0x00 | 0x17
remote 3.729283 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xff | 0x00 | 0x00 | 0x00 | 0x00 | 0x27 | 0x00 | 0x1a
remote 3.769273 R FIFO 0x45 | 0xe0 | 0x00 | 0x0a | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x01 | 0x00 | 0x01 | 0x27 | 0x00 | 0x17
remote 3.809667 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x00 | 0xff | 0xff | 0x27 | 0x00 | 0x19
remote 3.849259 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x27 | 0x00 | 0x18
remote 3.889353 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x03 | 0xff | 0xff | 0x00 | 0x00 | 0x27 | 0x00 | 0x17
remote 3.929297 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0xff | 0xff | 0xff | 0xff | 0x27 | 0x00 | 0x1c
remote 3.969415 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x03 | 0x00 | 0x00 | 0x27 | 0x00 | 0x13
remote 4.009376 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x27 | 0x00 | 0x18
remote 4.049646 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x04 | 0x00 | 0x03 | 0xff | 0xff | 0x27 | 0x00 | 0x13
remote 4.089355 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfd | 0x00 | 0x01 | 0x00 | 0x00 | 0x27 | 0x00 | 0x1b
remote 4.129319 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x01 | 0x00 | 0x00 | 0x27 | 0x00 | 0x15
remote 4.169428 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfd | 0x00 | 0x00 | 0xff | 0xff | 0x27 | 0x00 | 0x1e
remote 4.209435 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x02 | 0xff | 0xff | 0x27 | 0x00 | 0x17
remote 4.249718 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x27 | 0x00 | 0x18
remote 4.289681 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x00 | 0x00 | 0x01 | 0x27 | 0x00 | 0x16
remote 4.329451 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x01 | 0xff | 0xff | 0x27 | 0x00 | 0x19
remote 4.369428 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfe | 0x00 | 0x00 | 0x00 | 0x00 | 0x27 | 0x00 | 0x1b
remote 4.409558 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x01 | 0x00 | 0x00 | 0x27 | 0x00 | 0x15
remote 4.449505 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfd | 0x00 | 0x00 | 0xff | 0xff | 0x27 | 0x00 | 0x1e
remote 4.489795 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x00 | 0x00 | 0x01 | 0x27 | 0x00 | 0x15
remote 4.529515 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xff | 0x00 | 0x00 | 0x00 | 0x00 | 0x27 | 0x00 | 0x1a
remote 4.569576 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x02 | 0x00 | 0x00 | 0x27 | 0x00 | 0x14
remote 4.609515 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfe | 0x00 | 0x00 | 0x00 | 0x00 | 0x27 | 0x00 | 0x1b
remote 4.649590 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x00 | 0x00 | 0x00 | 0x26 | 0x00 | 0x17
remote 4.689563 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x02 | 0x00 | 0x00 | 0x26 | 0x00 | 0x17
remote 4.729706 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x26 | 0x00 | 0x19
remote 4.769648 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0xff | 0xff | 0x00 | 0x00 | 0x26 | 0x00 | 0x1b
remote 4.809625 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x26 | 0x00 | 0x19
remote 4.849626 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x01 | 0x00 | 0x00 | 0x26 | 0x00 | 0x17
